,t,P,P_r,M,X
0,0.0749080237694725,1.0811771502614982,1.0284611651486266,703.2705959931706,731.2068343678607
1,0.1901428612819832,1.147068643311032,1.1723039617093463,651.2932002115347,706.4464727876737
2,0.146398788362281,1.1506610423370014,1.0170098267281065,562.5322554018693,780.996354194764
3,0.11973169683940732,0.9137563164693332,1.1068656698554085,1549.338615800644,672.2736136172501
4,0.031203728088487304,1.0075589533587979,1.0494657686978515,948.5454437705026,671.2181815651032
5,0.03119890406724053,1.0673772621744402,0.9585591848630527,674.8640165266813,679.3325029552537
6,0.011616722433639893,1.1721939691808334,1.0445514891050904,385.6935703727899,629.4746287300347
7,0.17323522915498704,1.1068824505236425,1.0370306561768368,853.3148053449364,681.8383347751054
8,0.12022300234864175,1.0285368963898909,0.9279163455505607,583.2403644128059,673.92828418567
9,0.1416145155592091,1.0800097379913065,1.0558384816481878,1086.0392133186829,705.2836232321022
10,0.004116898859160489,1.1001915725273776,1.150148524910874,703.5753738613627,712.0642412612017
11,0.19398197043239887,1.2251671321436703,1.0724177708872351,394.5645537757327,768.8446065688412
12,0.16648852816008436,1.0995071550307804,0.9056015158441593,646.8463278297634,734.0678969203605
13,0.04246782213565523,1.0955471503368408,0.9141503017515986,786.2536940952958,680.0968076716103
14,0.03636499344142012,1.0449806529422787,0.9743215539899459,874.2673696420577,669.2512843425274
15,0.03668090197068676,1.140478260879991,1.2110774534628415,652.3391920416385,717.4306540955384
16,0.06084844859190754,0.9865916450178107,0.9665437816517017,1187.522478606637,655.2839641185382
17,0.10495128632644757,1.0650726199644027,0.8759994812514784,655.6734800426536,767.1276946286135
18,0.08638900372842315,1.0411586363681404,0.9988228097093677,792.3597479780616,742.5218820963765
19,0.058245828039608386,0.9121021003407519,0.9105863081062985,1659.6310045375012,683.769964903951
20,0.1223705789444759,1.1507769731490836,0.9705300080013629,476.3181110919312,642.5364897801704
21,0.027898772130408367,1.0539252750325945,1.0495454972388567,762.2001388404996,749.0261931635952
22,0.05842892970704363,1.0565676475306525,1.0207407959501582,682.0346832393026,696.0025629873816
